sides,defector,cooperator,radio,pay,factor,tolerance,info_seed,info_generations,status_undetermined
10,0.2,0.8,1,1,1.1,0,51,2,False
10,0.2,0.8,1,1,1.1,0,52,2,False
10,0.2,0.8,1,1,1.1,0,53,2,False
10,0.2,0.8,1,1,1.1,0,54,2,False
10,0.2,0.8,1,1,1.1,0,55,3,False
10,0.2,0.8,1,1,1.1,0,56,2,False
10,0.2,0.8,1,1,1.1,0,57,3,False
10,0.2,0.8,1,1,1.1,0,58,2,False
10,0.2,0.8,1,1,1.1,0,59,3,False
10,0.2,0.8,1,1,1.1,0,60,3,False
10,0.2,0.8,1,1,1.1,0,61,2,False
10,0.2,0.8,1,1,1.1,0,62,2,False
10,0.2,0.8,1,1,1.1,0,63,2,False
10,0.2,0.8,1,1,1.1,0,64,2,False
10,0.2,0.8,1,1,1.1,0,65,2,False
10,0.2,0.8,1,1,1.1,0,66,2,False
10,0.2,0.8,1,1,1.1,0,67,2,False
10,0.2,0.8,1,1,1.1,0,68,2,False
10,0.2,0.8,1,1,1.1,0,69,2,False
10,0.2,0.8,1,1,1.1,0,70,3,False
10,0.2,0.8,1,1,1.1,0,71,2,False
10,0.2,0.8,1,1,1.1,0,72,2,False
10,0.2,0.8,1,1,1.1,0,73,2,False
10,0.2,0.8,1,1,1.1,0,74,2,False
10,0.2,0.8,1,1,1.1,0,75,2,False
10,0.2,0.8,1,1,1.1,0,76,2,False
10,0.2,0.8,1,1,1.1,0,77,2,False
10,0.2,0.8,1,1,1.1,0,78,2,False
10,0.2,0.8,1,1,1.1,0,79,2,False
10,0.2,0.8,1,1,1.1,0,80,2,False
10,0.2,0.8,1,1,1.1,0,81,2,False
10,0.2,0.8,1,1,1.1,0,82,2,False
10,0.2,0.8,1,1,1.1,0,83,2,False
10,0.2,0.8,1,1,1.1,0,84,2,False
10,0.2,0.8,1,1,1.1,0,85,3,False
10,0.2,0.8,1,1,1.1,0,86,3,False
10,0.2,0.8,1,1,1.1,0,87,2,False
10,0.2,0.8,1,1,1.1,0,88,2,False
10,0.2,0.8,1,1,1.1,0,89,2,False
10,0.2,0.8,1,1,1.1,0,90,2,False
10,0.2,0.8,1,1,1.1,0,91,2,False
10,0.2,0.8,1,1,1.1,0,92,2,False
10,0.2,0.8,1,1,1.1,0,93,2,False
10,0.2,0.8,1,1,1.1,0,94,2,False
10,0.2,0.8,1,1,1.1,0,95,2,False
10,0.2,0.8,1,1,1.1,0,96,3,False
10,0.2,0.8,1,1,1.1,0,97,2,False
10,0.2,0.8,1,1,1.1,0,98,2,False
10,0.2,0.8,1,1,1.1,0,99,2,False
10,0.2,0.8,1,1,1.1,0,100,2,False
10,0.2,0.8,1,1,1.1,0,101,2,False
10,0.2,0.8,1,1,1.1,0,102,2,False
10,0.2,0.8,1,1,1.1,0,103,2,False
10,0.2,0.8,1,1,1.1,0,104,2,False
10,0.2,0.8,1,1,1.1,0,105,2,False
10,0.2,0.8,1,1,1.1,0,106,2,False
10,0.2,0.8,1,1,1.1,0,107,2,False
10,0.2,0.8,1,1,1.1,0,108,2,False
10,0.2,0.8,1,1,1.1,0,109,2,False
10,0.2,0.8,1,1,1.1,0,110,2,False
10,0.2,0.8,1,1,1.1,0,111,2,False
10,0.2,0.8,1,1,1.1,0,112,2,False
10,0.2,0.8,1,1,1.1,0,113,2,False
10,0.2,0.8,1,1,1.1,0,114,2,False
10,0.2,0.8,1,1,1.1,0,115,2,False
10,0.2,0.8,1,1,1.1,0,116,2,False
10,0.2,0.8,1,1,1.1,0,117,2,False
10,0.2,0.8,1,1,1.1,0,118,2,False
10,0.2,0.8,1,1,1.1,0,119,2,False
10,0.2,0.8,1,1,1.1,0,120,2,False
10,0.2,0.8,1,1,1.1,0,121,2,False
10,0.2,0.8,1,1,1.1,0,122,2,False
10,0.2,0.8,1,1,1.1,0,123,3,False
10,0.2,0.8,1,1,1.1,0,124,2,False
10,0.2,0.8,1,1,1.1,0,125,2,False
10,0.2,0.8,1,1,1.1,0,126,2,False
10,0.2,0.8,1,1,1.1,0,127,2,False
10,0.2,0.8,1,1,1.1,0,128,2,False
10,0.2,0.8,1,1,1.1,0,129,2,False
10,0.2,0.8,1,1,1.1,0,130,2,False
10,0.2,0.8,1,1,1.1,0,131,3,False
10,0.2,0.8,1,1,1.1,0,132,2,False
10,0.2,0.8,1,1,1.1,0,133,2,False
10,0.2,0.8,1,1,1.1,0,134,2,False
10,0.2,0.8,1,1,1.1,0,135,3,False
10,0.2,0.8,1,1,1.1,0,136,2,False
10,0.2,0.8,1,1,1.1,0,137,2,False
10,0.2,0.8,1,1,1.1,0,138,2,False
10,0.2,0.8,1,1,1.1,0,139,2,False
10,0.2,0.8,1,1,1.1,0,140,2,False
10,0.2,0.8,1,1,1.1,0,141,2,False
10,0.2,0.8,1,1,1.1,0,142,2,False
10,0.2,0.8,1,1,1.1,0,143,2,False
10,0.2,0.8,1,1,1.1,0,144,2,False
10,0.2,0.8,1,1,1.1,0,145,2,False
10,0.2,0.8,1,1,1.1,0,146,3,False
10,0.2,0.8,1,1,1.1,0,147,2,False
10,0.2,0.8,1,1,1.1,0,148,2,False
10,0.2,0.8,1,1,1.1,0,149,2,False
10,0.2,0.8,1,1,1.1,0,150,2,False
10,0.2,0.8,1,1,1.1,0,151,2,False
10,0.2,0.8,1,1,1.1,0,152,2,False
10,0.2,0.8,1,1,1.1,0,153,2,False
10,0.2,0.8,1,1,1.1,0,154,2,False
10,0.2,0.8,1,1,1.1,0,155,2,False
10,0.2,0.8,1,1,1.1,0,156,1,False
10,0.2,0.8,1,1,1.1,0,157,2,False
10,0.2,0.8,1,1,1.1,0,158,2,False
10,0.2,0.8,1,1,1.1,0,159,2,False
10,0.2,0.8,1,1,1.1,0,160,3,False
10,0.2,0.8,1,1,1.1,0,161,2,False
10,0.2,0.8,1,1,1.1,0,162,2,False
10,0.2,0.8,1,1,1.1,0,163,2,False
10,0.2,0.8,1,1,1.1,0,164,2,False
10,0.2,0.8,1,1,1.1,0,165,2,False
10,0.2,0.8,1,1,1.1,0,166,3,False
10,0.2,0.8,1,1,1.1,0,167,3,False
10,0.2,0.8,1,1,1.1,0,168,3,False
10,0.2,0.8,1,1,1.1,0,169,2,False
10,0.2,0.8,1,1,1.1,0,170,2,False
10,0.2,0.8,1,1,1.1,0,171,2,False
10,0.2,0.8,1,1,1.1,0,172,2,False
10,0.2,0.8,1,1,1.1,0,173,2,False
10,0.2,0.8,1,1,1.1,0,174,2,False
10,0.2,0.8,1,1,1.1,0,175,2,False
10,0.2,0.8,1,1,1.1,0,176,2,False
10,0.2,0.8,1,1,1.1,0,177,2,False
10,0.2,0.8,1,1,1.1,0,178,2,False
10,0.2,0.8,1,1,1.1,0,179,2,False
10,0.2,0.8,1,1,1.1,0,180,3,False
10,0.2,0.8,1,1,1.1,0,181,2,False
10,0.2,0.8,1,1,1.1,0,182,2,False
10,0.2,0.8,1,1,1.1,0,183,2,False
10,0.2,0.8,1,1,1.1,0,184,2,False
10,0.2,0.8,1,1,1.1,0,185,2,False
10,0.2,0.8,1,1,1.1,0,186,2,False
10,0.2,0.8,1,1,1.1,0,187,2,False
10,0.2,0.8,1,1,1.1,0,188,2,False
10,0.2,0.8,1,1,1.1,0,189,2,False
10,0.2,0.8,1,1,1.1,0,190,2,False
10,0.2,0.8,1,1,1.1,0,191,2,False
10,0.2,0.8,1,1,1.1,0,192,3,False
10,0.2,0.8,1,1,1.1,0,193,2,False
10,0.2,0.8,1,1,1.1,0,194,2,False
10,0.2,0.8,1,1,1.1,0,195,2,False
10,0.2,0.8,1,1,1.1,0,196,2,False
10,0.2,0.8,1,1,1.1,0,197,2,False
10,0.2,0.8,1,1,1.1,0,198,2,False
10,0.2,0.8,1,1,1.1,0,199,2,False
10,0.2,0.8,1,1,1.1,0,200,2,False
10,0.2,0.8,1,1,1.1,0,201,2,False
10,0.2,0.8,1,1,1.1,0,202,2,False
10,0.2,0.8,1,1,1.1,0,203,3,False
10,0.2,0.8,1,1,1.1,0,204,2,False
10,0.2,0.8,1,1,1.1,0,205,2,False
10,0.2,0.8,1,1,1.1,0,206,2,False
10,0.2,0.8,1,1,1.1,0,207,2,False
10,0.2,0.8,1,1,1.1,0,208,2,False
10,0.2,0.8,1,1,1.1,0,209,2,False
10,0.2,0.8,1,1,1.1,0,210,2,False
10,0.2,0.8,1,1,1.1,0,211,3,False
10,0.2,0.8,1,1,1.1,0,212,2,False
10,0.2,0.8,1,1,1.1,0,213,2,False
10,0.2,0.8,1,1,1.1,0,214,2,False
10,0.2,0.8,1,1,1.1,0,215,2,False
10,0.2,0.8,1,1,1.1,0,216,2,False
10,0.2,0.8,1,1,1.1,0,217,2,False
10,0.2,0.8,1,1,1.1,0,218,2,False
10,0.2,0.8,1,1,1.1,0,219,2,False
10,0.2,0.8,1,1,1.1,0,220,3,False
10,0.2,0.8,1,1,1.1,0,221,2,False
10,0.2,0.8,1,1,1.1,0,222,2,False
10,0.2,0.8,1,1,1.1,0,223,2,False
10,0.2,0.8,1,1,1.1,0,224,3,False
10,0.2,0.8,1,1,1.1,0,225,2,False
10,0.2,0.8,1,1,1.1,0,226,2,False
10,0.2,0.8,1,1,1.1,0,227,3,False
10,0.2,0.8,1,1,1.1,0,228,2,False
10,0.2,0.8,1,1,1.1,0,229,2,False
10,0.2,0.8,1,1,1.1,0,230,2,False
10,0.2,0.8,1,1,1.1,0,231,3,False
10,0.2,0.8,1,1,1.1,0,232,3,False
10,0.2,0.8,1,1,1.1,0,233,2,False
10,0.2,0.8,1,1,1.1,0,234,2,False
10,0.2,0.8,1,1,1.1,0,235,2,False
10,0.2,0.8,1,1,1.1,0,236,2,False
10,0.2,0.8,1,1,1.1,0,237,2,False
10,0.2,0.8,1,1,1.1,0,238,2,False
10,0.2,0.8,1,1,1.1,0,239,2,False
10,0.2,0.8,1,1,1.1,0,240,3,False
10,0.2,0.8,1,1,1.1,0,241,2,False
10,0.2,0.8,1,1,1.1,0,242,2,False
10,0.2,0.8,1,1,1.1,0,243,2,False
10,0.2,0.8,1,1,1.1,0,244,2,False
10,0.2,0.8,1,1,1.1,0,245,3,False
10,0.2,0.8,1,1,1.1,0,246,3,False
10,0.2,0.8,1,1,1.1,0,247,2,False
10,0.2,0.8,1,1,1.1,0,248,2,False
10,0.2,0.8,1,1,1.1,0,249,2,False
10,0.2,0.8,1,1,1.1,0,250,2,False
10,0.2,0.8,1,1,1.1,0,251,2,False
10,0.2,0.8,1,1,1.1,0,252,2,False
10,0.2,0.8,1,1,1.1,0,253,2,False
10,0.2,0.8,1,1,1.1,0,254,2,False
10,0.2,0.8,1,1,1.1,0,255,3,False
10,0.2,0.8,1,1,1.1,0,256,2,False
10,0.2,0.8,1,1,1.1,0,257,2,False
10,0.2,0.8,1,1,1.1,0,258,2,False
10,0.2,0.8,1,1,1.1,0,259,2,False
10,0.2,0.8,1,1,1.1,0,260,2,False
10,0.2,0.8,1,1,1.1,0,261,2,False
10,0.2,0.8,1,1,1.1,0,262,2,False
10,0.2,0.8,1,1,1.1,0,263,2,False
10,0.2,0.8,1,1,1.1,0,264,2,False
10,0.2,0.8,1,1,1.1,0,265,2,False
10,0.2,0.8,1,1,1.1,0,266,2,False
10,0.2,0.8,1,1,1.1,0,267,2,False
10,0.2,0.8,1,1,1.1,0,268,2,False
10,0.2,0.8,1,1,1.1,0,269,2,False
10,0.2,0.8,1,1,1.1,0,270,1,False
10,0.2,0.8,1,1,1.1,0,271,2,False
10,0.2,0.8,1,1,1.1,0,272,2,False
10,0.2,0.8,1,1,1.1,0,273,2,False
10,0.2,0.8,1,1,1.1,0,274,2,False
10,0.2,0.8,1,1,1.1,0,275,2,False
10,0.2,0.8,1,1,1.1,0,276,2,False
10,0.2,0.8,1,1,1.1,0,277,2,False
10,0.2,0.8,1,1,1.1,0,278,2,False
10,0.2,0.8,1,1,1.1,0,279,2,False
10,0.2,0.8,1,1,1.1,0,280,2,False
10,0.2,0.8,1,1,1.1,0,281,2,False
10,0.2,0.8,1,1,1.1,0,282,2,False
10,0.2,0.8,1,1,1.1,0,283,2,False
10,0.2,0.8,1,1,1.1,0,284,2,False
10,0.2,0.8,1,1,1.1,0,285,2,False
10,0.2,0.8,1,1,1.1,0,286,2,False
10,0.2,0.8,1,1,1.1,0,287,3,False
10,0.2,0.8,1,1,1.1,0,288,2,False
10,0.2,0.8,1,1,1.1,0,289,2,False
10,0.2,0.8,1,1,1.1,0,290,2,False
10,0.2,0.8,1,1,1.1,0,291,2,False
10,0.2,0.8,1,1,1.1,0,292,2,False
10,0.2,0.8,1,1,1.1,0,293,2,False
10,0.2,0.8,1,1,1.1,0,294,2,False
10,0.2,0.8,1,1,1.1,0,295,2,False
10,0.2,0.8,1,1,1.1,0,296,2,False
10,0.2,0.8,1,1,1.1,0,297,2,False
10,0.2,0.8,1,1,1.1,0,298,2,False
10,0.2,0.8,1,1,1.1,0,299,2,False
10,0.2,0.8,1,1,1.1,0,300,2,False
10,0.2,0.8,1,1,1.1,0,301,2,False
10,0.2,0.8,1,1,1.1,0,302,2,False
10,0.2,0.8,1,1,1.1,0,303,2,False
10,0.2,0.8,1,1,1.1,0,304,2,False
10,0.2,0.8,1,1,1.1,0,305,3,False
10,0.2,0.8,1,1,1.1,0,306,2,False
10,0.2,0.8,1,1,1.1,0,307,3,False
10,0.2,0.8,1,1,1.1,0,308,2,False
10,0.2,0.8,1,1,1.1,0,309,3,False
10,0.2,0.8,1,1,1.1,0,310,2,False
10,0.2,0.8,1,1,1.1,0,311,2,False
10,0.2,0.8,1,1,1.1,0,312,2,False
10,0.2,0.8,1,1,1.1,0,313,2,False
10,0.2,0.8,1,1,1.1,0,314,3,False
10,0.2,0.8,1,1,1.1,0,315,3,False
10,0.2,0.8,1,1,1.1,0,316,2,False
10,0.2,0.8,1,1,1.1,0,317,2,False
10,0.2,0.8,1,1,1.1,0,318,2,False
10,0.2,0.8,1,1,1.1,0,319,2,False
10,0.2,0.8,1,1,1.1,0,320,2,False
10,0.2,0.8,1,1,1.1,0,321,2,False
10,0.2,0.8,1,1,1.1,0,322,2,False
10,0.2,0.8,1,1,1.1,0,323,2,False
10,0.2,0.8,1,1,1.1,0,324,2,False
10,0.2,0.8,1,1,1.1,0,325,3,False
10,0.2,0.8,1,1,1.1,0,326,2,False
10,0.2,0.8,1,1,1.1,0,327,2,False
10,0.2,0.8,1,1,1.1,0,328,2,False
10,0.2,0.8,1,1,1.1,0,329,2,False
10,0.2,0.8,1,1,1.1,0,330,3,False
10,0.2,0.8,1,1,1.1,0,331,2,False
10,0.2,0.8,1,1,1.1,0,332,2,False
10,0.2,0.8,1,1,1.1,0,333,2,False
10,0.2,0.8,1,1,1.1,0,334,2,False
10,0.2,0.8,1,1,1.1,0,335,2,False
10,0.2,0.8,1,1,1.1,0,336,2,False
10,0.2,0.8,1,1,1.1,0,337,2,False
10,0.2,0.8,1,1,1.1,0,338,2,False
10,0.2,0.8,1,1,1.1,0,339,2,False
10,0.2,0.8,1,1,1.1,0,340,2,False
10,0.2,0.8,1,1,1.1,0,341,2,False
10,0.2,0.8,1,1,1.1,0,342,2,False
10,0.2,0.8,1,1,1.1,0,343,2,False
10,0.2,0.8,1,1,1.1,0,344,2,False
10,0.2,0.8,1,1,1.1,0,345,2,False
10,0.2,0.8,1,1,1.1,0,346,2,False
10,0.2,0.8,1,1,1.1,0,347,2,False
10,0.2,0.8,1,1,1.1,0,348,2,False
10,0.2,0.8,1,1,1.1,0,349,2,False
10,0.2,0.8,1,1,1.1,0,350,3,False
10,0.2,0.8,1,1,1.1,0,351,2,False
10,0.2,0.8,1,1,1.1,0,352,2,False
10,0.2,0.8,1,1,1.1,0,353,3,False
10,0.2,0.8,1,1,1.1,0,354,2,False
10,0.2,0.8,1,1,1.1,0,355,2,False
10,0.2,0.8,1,1,1.1,0,356,2,False
10,0.2,0.8,1,1,1.1,0,357,3,False
10,0.2,0.8,1,1,1.1,0,358,2,False
10,0.2,0.8,1,1,1.1,0,359,3,False
10,0.2,0.8,1,1,1.1,0,360,2,False
10,0.2,0.8,1,1,1.1,0,361,2,False
10,0.2,0.8,1,1,1.1,0,362,2,False
10,0.2,0.8,1,1,1.1,0,363,2,False
10,0.2,0.8,1,1,1.1,0,364,2,False
10,0.2,0.8,1,1,1.1,0,365,2,False
10,0.2,0.8,1,1,1.1,0,366,2,False
10,0.2,0.8,1,1,1.1,0,367,2,False
10,0.2,0.8,1,1,1.1,0,368,2,False
10,0.2,0.8,1,1,1.1,0,369,3,False
10,0.2,0.8,1,1,1.1,0,370,2,False
10,0.2,0.8,1,1,1.1,0,371,2,False
10,0.2,0.8,1,1,1.1,0,372,2,False
10,0.2,0.8,1,1,1.1,0,373,2,False
10,0.2,0.8,1,1,1.1,0,374,3,False
10,0.2,0.8,1,1,1.1,0,375,3,False
10,0.2,0.8,1,1,1.1,0,376,2,False
10,0.2,0.8,1,1,1.1,0,377,2,False
10,0.2,0.8,1,1,1.1,0,378,2,False
10,0.2,0.8,1,1,1.1,0,379,2,False
10,0.2,0.8,1,1,1.1,0,380,2,False
10,0.2,0.8,1,1,1.1,0,381,3,False
10,0.2,0.8,1,1,1.1,0,382,2,False
10,0.2,0.8,1,1,1.1,0,383,3,False
10,0.2,0.8,1,1,1.1,0,384,2,False
10,0.2,0.8,1,1,1.1,0,385,2,False
10,0.2,0.8,1,1,1.1,0,386,2,False
10,0.2,0.8,1,1,1.1,0,387,2,False
10,0.2,0.8,1,1,1.1,0,388,2,False
10,0.2,0.8,1,1,1.1,0,389,2,False
10,0.2,0.8,1,1,1.1,0,390,2,False
10,0.2,0.8,1,1,1.1,0,391,2,False
10,0.2,0.8,1,1,1.1,0,392,2,False
10,0.2,0.8,1,1,1.1,0,393,2,False
10,0.2,0.8,1,1,1.1,0,394,2,False
10,0.2,0.8,1,1,1.1,0,395,2,False
10,0.2,0.8,1,1,1.1,0,396,2,False
10,0.2,0.8,1,1,1.1,0,397,2,False
10,0.2,0.8,1,1,1.1,0,398,2,False
10,0.2,0.8,1,1,1.1,0,399,2,False
10,0.2,0.8,1,1,1.1,0,400,2,False
10,0.2,0.8,1,1,1.1,0,401,2,False
10,0.2,0.8,1,1,1.1,0,402,3,False
10,0.2,0.8,1,1,1.1,0,403,2,False
10,0.2,0.8,1,1,1.1,0,404,2,False
10,0.2,0.8,1,1,1.1,0,405,2,False
10,0.2,0.8,1,1,1.1,0,406,2,False
10,0.2,0.8,1,1,1.1,0,407,3,False
10,0.2,0.8,1,1,1.1,0,408,2,False
10,0.2,0.8,1,1,1.1,0,409,2,False
10,0.2,0.8,1,1,1.1,0,410,2,False
10,0.2,0.8,1,1,1.1,0,411,2,False
10,0.2,0.8,1,1,1.1,0,412,2,False
10,0.2,0.8,1,1,1.1,0,413,2,False
10,0.2,0.8,1,1,1.1,0,414,2,False
10,0.2,0.8,1,1,1.1,0,415,2,False
10,0.2,0.8,1,1,1.1,0,416,2,False
10,0.2,0.8,1,1,1.1,0,417,2,False
10,0.2,0.8,1,1,1.1,0,418,2,False
10,0.2,0.8,1,1,1.1,0,419,2,False
10,0.2,0.8,1,1,1.1,0,420,2,False
10,0.2,0.8,1,1,1.1,0,421,2,False
10,0.2,0.8,1,1,1.1,0,422,2,False
10,0.2,0.8,1,1,1.1,0,423,3,False
10,0.2,0.8,1,1,1.1,0,424,3,False
10,0.2,0.8,1,1,1.1,0,425,3,False
10,0.2,0.8,1,1,1.1,0,426,2,False
10,0.2,0.8,1,1,1.1,0,427,2,False
10,0.2,0.8,1,1,1.1,0,428,2,False
10,0.2,0.8,1,1,1.1,0,429,2,False
10,0.2,0.8,1,1,1.1,0,430,2,False
10,0.2,0.8,1,1,1.1,0,431,2,False
10,0.2,0.8,1,1,1.1,0,432,2,False
10,0.2,0.8,1,1,1.1,0,433,2,False
10,0.2,0.8,1,1,1.1,0,434,2,False
10,0.2,0.8,1,1,1.1,0,435,2,False
10,0.2,0.8,1,1,1.1,0,436,2,False
10,0.2,0.8,1,1,1.1,0,437,2,False
10,0.2,0.8,1,1,1.1,0,438,2,False
10,0.2,0.8,1,1,1.1,0,439,2,False
10,0.2,0.8,1,1,1.1,0,440,2,False
10,0.2,0.8,1,1,1.1,0,441,2,False
10,0.2,0.8,1,1,1.1,0,442,2,False
10,0.2,0.8,1,1,1.1,0,443,2,False
10,0.2,0.8,1,1,1.1,0,444,2,False
10,0.2,0.8,1,1,1.1,0,445,2,False
10,0.2,0.8,1,1,1.1,0,446,2,False
10,0.2,0.8,1,1,1.1,0,447,2,False
10,0.2,0.8,1,1,1.1,0,448,3,False
10,0.2,0.8,1,1,1.1,0,449,2,False
10,0.2,0.8,1,1,1.1,0,450,2,False
10,0.2,0.8,1,1,1.1,0,451,2,False
10,0.2,0.8,1,1,1.1,0,452,2,False
10,0.2,0.8,1,1,1.1,0,453,2,False
10,0.2,0.8,1,1,1.1,0,454,3,False
10,0.2,0.8,1,1,1.1,0,455,2,False
10,0.2,0.8,1,1,1.1,0,456,2,False
10,0.2,0.8,1,1,1.1,0,457,2,False
10,0.2,0.8,1,1,1.1,0,458,2,False
10,0.2,0.8,1,1,1.1,0,459,2,False
10,0.2,0.8,1,1,1.1,0,460,2,False
10,0.2,0.8,1,1,1.1,0,461,3,False
10,0.2,0.8,1,1,1.1,0,462,2,False
10,0.2,0.8,1,1,1.1,0,463,2,False
10,0.2,0.8,1,1,1.1,0,464,2,False
10,0.2,0.8,1,1,1.1,0,465,2,False
10,0.2,0.8,1,1,1.1,0,466,2,False
10,0.2,0.8,1,1,1.1,0,467,2,False
10,0.2,0.8,1,1,1.1,0,468,2,False
10,0.2,0.8,1,1,1.1,0,469,2,False
10,0.2,0.8,1,1,1.1,0,470,2,False
10,0.2,0.8,1,1,1.1,0,471,2,False
10,0.2,0.8,1,1,1.1,0,472,2,False
10,0.2,0.8,1,1,1.1,0,473,2,False
10,0.2,0.8,1,1,1.1,0,474,2,False
10,0.2,0.8,1,1,1.1,0,475,2,False
10,0.2,0.8,1,1,1.1,0,476,2,False
10,0.2,0.8,1,1,1.1,0,477,2,False
10,0.2,0.8,1,1,1.1,0,478,2,False
10,0.2,0.8,1,1,1.1,0,479,2,False
10,0.2,0.8,1,1,1.1,0,480,2,False
10,0.2,0.8,1,1,1.1,0,481,2,False
10,0.2,0.8,1,1,1.1,0,482,2,False
10,0.2,0.8,1,1,1.1,0,483,2,False
10,0.2,0.8,1,1,1.1,0,484,2,False
10,0.2,0.8,1,1,1.1,0,485,2,False
10,0.2,0.8,1,1,1.1,0,486,2,False
10,0.2,0.8,1,1,1.1,0,487,2,False
10,0.2,0.8,1,1,1.1,0,488,2,False
10,0.2,0.8,1,1,1.1,0,489,2,False
10,0.2,0.8,1,1,1.1,0,490,2,False
10,0.2,0.8,1,1,1.1,0,491,2,False
10,0.2,0.8,1,1,1.1,0,492,2,False
10,0.2,0.8,1,1,1.1,0,493,2,False
10,0.2,0.8,1,1,1.1,0,494,3,False
10,0.2,0.8,1,1,1.1,0,495,2,False
10,0.2,0.8,1,1,1.1,0,496,2,False
10,0.2,0.8,1,1,1.1,0,497,3,False
10,0.2,0.8,1,1,1.1,0,498,2,False
10,0.2,0.8,1,1,1.1,0,499,2,False
10,0.2,0.8,1,1,1.1,0,500,3,False
10,0.2,0.8,1,1,1.1,0,501,2,False
10,0.2,0.8,1,1,1.1,0,502,2,False
10,0.2,0.8,1,1,1.1,0,503,3,False
10,0.2,0.8,1,1,1.1,0,504,2,False
10,0.2,0.8,1,1,1.1,0,505,2,False
10,0.2,0.8,1,1,1.1,0,506,2,False
10,0.2,0.8,1,1,1.1,0,507,2,False
10,0.2,0.8,1,1,1.1,0,508,2,False
10,0.2,0.8,1,1,1.1,0,509,2,False
10,0.2,0.8,1,1,1.1,0,510,2,False
10,0.2,0.8,1,1,1.1,0,511,2,False
10,0.2,0.8,1,1,1.1,0,512,3,False
10,0.2,0.8,1,1,1.1,0,513,2,False
10,0.2,0.8,1,1,1.1,0,514,2,False
10,0.2,0.8,1,1,1.1,0,515,2,False
10,0.2,0.8,1,1,1.1,0,516,2,False
10,0.2,0.8,1,1,1.1,0,517,2,False
10,0.2,0.8,1,1,1.1,0,518,2,False
10,0.2,0.8,1,1,1.1,0,519,2,False
10,0.2,0.8,1,1,1.1,0,520,2,False
10,0.2,0.8,1,1,1.1,0,521,2,False
10,0.2,0.8,1,1,1.1,0,522,3,False
10,0.2,0.8,1,1,1.1,0,523,2,False
10,0.2,0.8,1,1,1.1,0,524,2,False
10,0.2,0.8,1,1,1.1,0,525,2,False
10,0.2,0.8,1,1,1.1,0,526,2,False
10,0.2,0.8,1,1,1.1,0,527,2,False
10,0.2,0.8,1,1,1.1,0,528,2,False
10,0.2,0.8,1,1,1.1,0,529,2,False
10,0.2,0.8,1,1,1.1,0,530,2,False
10,0.2,0.8,1,1,1.1,0,531,2,False
10,0.2,0.8,1,1,1.1,0,532,2,False
10,0.2,0.8,1,1,1.1,0,533,2,False
10,0.2,0.8,1,1,1.1,0,534,3,False
